Gene,Mutation_Status
IDENTIFIER,No Mutation
Gene title,No Mutation
Gene symbol,No Mutation
Gene ID,Mutation
UniGene title,No Mutation
UniGene symbol,No Mutation
UniGene ID,No Mutation
Nucleotide Title,No Mutation
GI,Mutation
GenBank Accession,No Mutation
Platform_CLONEID,No Mutation
Platform_ORF,No Mutation
Platform_SPOTID,No Mutation
Chromosome location,Mutation
Chromosome annotation,No Mutation
GO:Function,No Mutation
GO:Process,No Mutation
GO:Component,No Mutation
GO:Function ID,No Mutation
GO:Process ID,No Mutation
GO:Component ID,No Mutation
"Couple’sNumber",Mutation
Random Numbers,Mutation
Genotype,Mutation
GSM389652,Mutation
GSM389653,Mutation
GSM389654,Mutation
GSM389655,Mutation
GSM389656,Mutation
GSM389657,Mutation
GSM389658,Mutation
GSM389659,Mutation
GSM389660,Mutation
GSM389661,Mutation
GSM389662,Mutation
GSM389663,Mutation
GSM389664,Mutation
GSM389665,Mutation
GSM389666,Mutation
GSM389667,Mutation
GSM389668,Mutation
GSM389669,Mutation
GSM389670,Mutation
GSM389671,Mutation
GSM389672,Mutation
GSM389673,Mutation
GSM389674,Mutation
GSM389675,Mutation
GSM389676,Mutation
GSM389677,Mutation
GSM389678,Mutation
GSM389679,Mutation
GSM389680,Mutation
